ComplaintID,ComplaintText,Category,UrgencyLevel,Sentiment,Authority
79,This is a complaint about Electricity issue.,Waste Management,High,Neutral,Public Works
80,This is a complaint about Electricity issue.,Waste Management,Low,Negative,Water Department
81,This is a complaint about Road Damage issue.,Electricity,High,Negative,Electricity Board
82,This is a complaint about Road Damage issue.,Water Supply,Medium,Neutral,Electricity Board
83,This is a complaint about Water Supply issue.,Electricity,High,Positive,Electricity Board
84,This is a complaint about Water Supply issue.,Road Damage,Low,Negative,Public Works
85,This is a complaint about Electricity issue.,Electricity,Low,Negative,Public Works
86,This is a complaint about Electricity issue.,Water Supply,Low,Positive,Waste Management Division
87,This is a complaint about Electricity issue.,Electricity,High,Neutral,Water Department
88,This is a complaint about Road Damage issue.,Road Damage,Medium,Neutral,Electricity Board
89,This is a complaint about Water Supply issue.,Electricity,High,Neutral,Water Department
90,This is a complaint about Electricity issue.,Water Supply,Low,Neutral,Waste Management Division
91,This is a complaint about Road Damage issue.,Waste Management,Medium,Neutral,Electricity Board
92,This is a complaint about Electricity issue.,Road Damage,Medium,Negative,Waste Management Division
93,This is a complaint about Road Damage issue.,Waste Management,Medium,Positive,Public Works
94,This is a complaint about Waste Management issue.,Road Damage,Medium,Negative,Public Works
95,This is a complaint about Road Damage issue.,Waste Management,Medium,Negative,Public Works
96,This is a complaint about Electricity issue.,Electricity,Medium,Negative,Water Department
97,This is a complaint about Electricity issue.,Water Supply,Medium,Positive,Public Works
98,This is a complaint about Electricity issue.,Electricity,Low,Neutral,Public Works
99,This is a complaint about Waste Management issue.,Waste Management,Medium,Negative,Electricity Board
100,This is a complaint about Road Damage issue.,Water Supply,Low,Negative,Public Works
101,This is a complaint about Waste Management issue.,Road Damage,High,Positive,Waste Management Division
102,This is a complaint about Road Damage issue.,Water Supply,Low,Positive,Waste Management Division
103,This is a complaint about Water Supply issue.,Waste Management,Medium,Neutral,Electricity Board
104,This is a complaint about Road Damage issue.,Water Supply,Medium,Neutral,Water Department
105,This is a complaint about Electricity issue.,Road Damage,Medium,Negative,Public Works
106,This is a complaint about Electricity issue.,Road Damage,Low,Neutral,Electricity Board
107,This is a complaint about Waste Management issue.,Electricity,Medium,Positive,Public Works
108,This is a complaint about Waste Management issue.,Waste Management,Low,Positive,Public Works
109,This is a complaint about Road Damage issue.,Waste Management,Medium,Negative,Waste Management Division
110,This is a complaint about Electricity issue.,Road Damage,Low,Neutral,Waste Management Division
111,This is a complaint about Road Damage issue.,Waste Management,Medium,Negative,Public Works
112,This is a complaint about Electricity issue.,Electricity,Low,Positive,Public Works
113,This is a complaint about Electricity issue.,Water Supply,Medium,Positive,Water Department
114,This is a complaint about Road Damage issue.,Road Damage,High,Positive,Public Works
115,This is a complaint about Waste Management issue.,Water Supply,Low,Positive,Water Department
116,This is a complaint about Electricity issue.,Waste Management,High,Neutral,Waste Management Division
117,This is a complaint about Electricity issue.,Waste Management,Low,Positive,Waste Management Division
118,This is a complaint about Road Damage issue.,Electricity,Medium,Negative,Public Works
119,This is a complaint about Road Damage issue.,Road Damage,Low,Negative,Public Works
120,This is a complaint about Electricity issue.,Waste Management,Low,Negative,Waste Management Division
121,This is a complaint about Water Supply issue.,Road Damage,Low,Neutral,Electricity Board
122,This is a complaint about Road Damage issue.,Electricity,Medium,Negative,Electricity Board
123,This is a complaint about Waste Management issue.,Road Damage,High,Neutral,Water Department
124,This is a complaint about Waste Management issue.,Water Supply,Medium,Negative,Water Department
125,This is a complaint about Waste Management issue.,Road Damage,Medium,Positive,Water Department
126,This is a complaint about Waste Management issue.,Road Damage,High,Neutral,Electricity Board
127,This is a complaint about Water Supply issue.,Electricity,High,Positive,Water Department
128,This is a complaint about Road Damage issue.,Water Supply,High,Neutral,Electricity Board
129,This is a complaint about Electricity issue.,Water Supply,Medium,Positive,Water Department
130,This is a complaint about Waste Management issue.,Road Damage,High,Neutral,Water Department
131,This is a complaint about Road Damage issue.,Electricity,High,Neutral,Waste Management Division
132,This is a complaint about Road Damage issue.,Road Damage,Medium,Positive,Electricity Board
133,This is a complaint about Road Damage issue.,Waste Management,Low,Negative,Electricity Board
134,This is a complaint about Waste Management issue.,Road Damage,High,Negative,Electricity Board
135,This is a complaint about Road Damage issue.,Water Supply,Medium,Positive,Public Works
136,This is a complaint about Waste Management issue.,Road Damage,Low,Negative,Water Department
137,This is a complaint about Road Damage issue.,Electricity,High,Neutral,Electricity Board
138,This is a complaint about Electricity issue.,Road Damage,High,Positive,Electricity Board
139,This is a complaint about Water Supply issue.,Water Supply,Medium,Neutral,Waste Management Division
140,This is a complaint about Water Supply issue.,Electricity,Medium,Neutral,Electricity Board
141,This is a complaint about Electricity issue.,Waste Management,High,Negative,Water Department
142,This is a complaint about Waste Management issue.,Water Supply,Medium,Positive,Waste Management Division
143,This is a complaint about Electricity issue.,Water Supply,High,Negative,Water Department
144,This is a complaint about Waste Management issue.,Water Supply,High,Positive,Waste Management Division
145,This is a complaint about Water Supply issue.,Electricity,Medium,Neutral,Waste Management Division
146,This is a complaint about Waste Management issue.,Waste Management,High,Neutral,Electricity Board
147,This is a complaint about Waste Management issue.,Road Damage,High,Negative,Public Works
148,This is a complaint about Waste Management issue.,Electricity,High,Positive,Water Department
149,This is a complaint about Water Supply issue.,Waste Management,Low,Neutral,Water Department
150,This is a complaint about Electricity issue.,Electricity,Medium,Positive,Public Works
151,This is a complaint about Road Damage issue.,Water Supply,Medium,Negative,Public Works
152,This is a complaint about Road Damage issue.,Waste Management,Medium,Negative,Water Department
153,This is a complaint about Water Supply issue.,Electricity,Low,Positive,Electricity Board
154,This is a complaint about Electricity issue.,Water Supply,High,Positive,Waste Management Division
155,This is a complaint about Road Damage issue.,Electricity,High,Negative,Public Works
156,This is a complaint about Road Damage issue.,Water Supply,High,Negative,Public Works
157,This is a complaint about Road Damage issue.,Electricity,Low,Negative,Public Works
158,This is a complaint about Water Supply issue.,Road Damage,Low,Negative,Water Department
159,This is a complaint about Water Supply issue.,Water Supply,High,Negative,Public Works
160,This is a complaint about Electricity issue.,Road Damage,Low,Neutral,Electricity Board
161,This is a complaint about Electricity issue.,Waste Management,Low,Neutral,Water Department
162,This is a complaint about Road Damage issue.,Water Supply,Medium,Negative,Water Department
163,This is a complaint about Road Damage issue.,Electricity,Low,Positive,Water Department
164,This is a complaint about Water Supply issue.,Road Damage,High,Neutral,Waste Management Division
165,This is a complaint about Electricity issue.,Waste Management,Low,Negative,Electricity Board
166,This is a complaint about Waste Management issue.,Water Supply,Medium,Positive,Electricity Board
167,This is a complaint about Water Supply issue.,Electricity,Low,Negative,Public Works
168,This is a complaint about Electricity issue.,Electricity,High,Neutral,Electricity Board
169,This is a complaint about Waste Management issue.,Water Supply,High,Positive,Electricity Board
170,This is a complaint about Water Supply issue.,Road Damage,Low,Neutral,Water Department
171,This is a complaint about Waste Management issue.,Road Damage,High,Neutral,Public Works
172,This is a complaint about Road Damage issue.,Electricity,Medium,Positive,Electricity Board
173,This is a complaint about Waste Management issue.,Electricity,High,Positive,Electricity Board
174,This is a complaint about Water Supply issue.,Water Supply,Medium,Negative,Waste Management Division
175,This is a complaint about Waste Management issue.,Road Damage,High,Positive,Public Works
176,This is a complaint about Water Supply issue.,Road Damage,Medium,Neutral,Water Department
177,This is a complaint about Road Damage issue.,Water Supply,High,Positive,Water Department
178,This is a complaint about Waste Management issue.,Electricity,High,Neutral,Waste Management Division
179,This is a complaint about Electricity issue.,Water Supply,Medium,Neutral,Electricity Board
180,This is a complaint about Electricity issue.,Road Damage,Medium,Negative,Water Department
181,This is a complaint about Waste Management issue.,Road Damage,High,Neutral,Waste Management Division
182,This is a complaint about Electricity issue.,Electricity,High,Neutral,Water Department
183,This is a complaint about Water Supply issue.,Electricity,High,Neutral,Waste Management Division
184,This is a complaint about Water Supply issue.,Water Supply,High,Negative,Public Works
185,This is a complaint about Water Supply issue.,Waste Management,Medium,Positive,Water Department
186,This is a complaint about Electricity issue.,Electricity,Medium,Negative,Public Works
187,This is a complaint about Electricity issue.,Electricity,High,Positive,Waste Management Division
188,This is a complaint about Electricity issue.,Water Supply,Medium,Negative,Waste Management Division
189,This is a complaint about Water Supply issue.,Electricity,Low,Positive,Waste Management Division
190,This is a complaint about Electricity issue.,Water Supply,Low,Positive,Water Department
191,This is a complaint about Road Damage issue.,Road Damage,Low,Neutral,Water Department
192,This is a complaint about Electricity issue.,Electricity,Low,Neutral,Water Department
193,This is a complaint about Electricity issue.,Waste Management,High,Positive,Electricity Board
194,This is a complaint about Water Supply issue.,Waste Management,Medium,Neutral,Electricity Board
195,This is a complaint about Electricity issue.,Road Damage,Low,Neutral,Public Works
196,This is a complaint about Road Damage issue.,Electricity,Low,Positive,Electricity Board
197,This is a complaint about Road Damage issue.,Electricity,Low,Negative,Waste Management Division
198,This is a complaint about Electricity issue.,Road Damage,High,Negative,Electricity Board
199,This is a complaint about Road Damage issue.,Electricity,Medium,Neutral,Water Department
200,This is a complaint about Waste Management issue.,Waste Management,Medium,Neutral,Waste Management Division
201,This is a complaint about Electricity issue.,Water Supply,High,Negative,Electricity Board
202,This is a complaint about Water Supply issue.,Water Supply,High,Positive,Waste Management Division
203,This is a complaint about Waste Management issue.,Waste Management,High,Negative,Electricity Board
204,This is a complaint about Water Supply issue.,Electricity,Medium,Neutral,Water Department
205,This is a complaint about Road Damage issue.,Waste Management,High,Negative,Water Department
206,This is a complaint about Road Damage issue.,Water Supply,Medium,Neutral,Waste Management Division
207,This is a complaint about Waste Management issue.,Water Supply,Medium,Negative,Water Department
208,This is a complaint about Water Supply issue.,Water Supply,Medium,Negative,Water Department
209,This is a complaint about Road Damage issue.,Waste Management,High,Negative,Public Works
210,This is a complaint about Road Damage issue.,Road Damage,Low,Negative,Electricity Board
211,This is a complaint about Road Damage issue.,Water Supply,High,Positive,Water Department
212,This is a complaint about Waste Management issue.,Waste Management,Medium,Neutral,Public Works
213,This is a complaint about Road Damage issue.,Road Damage,Low,Negative,Waste Management Division
214,This is a complaint about Water Supply issue.,Waste Management,Medium,Negative,Water Department
215,This is a complaint about Waste Management issue.,Road Damage,High,Negative,Waste Management Division
216,This is a complaint about Water Supply issue.,Waste Management,Low,Positive,Public Works
217,This is a complaint about Road Damage issue.,Electricity,Medium,Positive,Water Department
218,This is a complaint about Waste Management issue.,Electricity,Low,Negative,Water Department
219,This is a complaint about Electricity issue.,Electricity,High,Positive,Public Works
220,This is a complaint about Electricity issue.,Electricity,High,Neutral,Water Department
221,This is a complaint about Waste Management issue.,Electricity,Low,Neutral,Electricity Board
222,This is a complaint about Electricity issue.,Road Damage,Medium,Negative,Waste Management Division
223,This is a complaint about Waste Management issue.,Electricity,Low,Neutral,Waste Management Division
224,This is a complaint about Waste Management issue.,Road Damage,High,Positive,Public Works
225,This is a complaint about Waste Management issue.,Waste Management,High,Positive,Public Works
226,This is a complaint about Waste Management issue.,Electricity,High,Negative,Waste Management Division
227,This is a complaint about Waste Management issue.,Water Supply,High,Positive,Public Works
228,This is a complaint about Waste Management issue.,Water Supply,High,Positive,Waste Management Division
229,This is a complaint about Road Damage issue.,Water Supply,Medium,Positive,Electricity Board
230,This is a complaint about Road Damage issue.,Electricity,Medium,Positive,Public Works
231,This is a complaint about Road Damage issue.,Waste Management,High,Positive,Water Department
232,This is a complaint about Waste Management issue.,Road Damage,Low,Positive,Waste Management Division
233,This is a complaint about Water Supply issue.,Electricity,High,Negative,Waste Management Division
234,This is a complaint about Water Supply issue.,Water Supply,High,Positive,Waste Management Division
235,This is a complaint about Waste Management issue.,Water Supply,High,Neutral,Water Department
236,This is a complaint about Electricity issue.,Electricity,Medium,Negative,Public Works
237,This is a complaint about Waste Management issue.,Water Supply,High,Positive,Water Department
238,This is a complaint about Waste Management issue.,Water Supply,High,Neutral,Waste Management Division
239,This is a complaint about Water Supply issue.,Water Supply,Low,Negative,Public Works
240,This is a complaint about Road Damage issue.,Electricity,Medium,Neutral,Electricity Board
241,This is a complaint about Waste Management issue.,Road Damage,Medium,Neutral,Public Works
242,This is a complaint about Waste Management issue.,Road Damage,Medium,Neutral,Public Works
243,This is a complaint about Waste Management issue.,Water Supply,Low,Positive,Waste Management Division
244,This is a complaint about Road Damage issue.,Electricity,Low,Positive,Electricity Board
245,This is a complaint about Waste Management issue.,Waste Management,Low,Positive,Public Works
246,This is a complaint about Water Supply issue.,Electricity,Low,Positive,Electricity Board
247,This is a complaint about Waste Management issue.,Water Supply,Low,Positive,Electricity Board
248,This is a complaint about Waste Management issue.,Water Supply,Medium,Negative,Water Department
249,This is a complaint about Waste Management issue.,Water Supply,High,Positive,Waste Management Division
250,This is a complaint about Waste Management issue.,Water Supply,Low,Positive,Water Department
251,This is a complaint about Waste Management issue.,Water Supply,High,Neutral,Waste Management Division
252,This is a complaint about Waste Management issue.,Electricity,Low,Positive,Waste Management Division
253,This is a complaint about Water Supply issue.,Water Supply,Low,Positive,Electricity Board
254,This is a complaint about Waste Management issue.,Road Damage,High,Negative,Waste Management Division
255,This is a complaint about Waste Management issue.,Electricity,High,Positive,Water Department
256,This is a complaint about Waste Management issue.,Electricity,High,Negative,Waste Management Division
257,This is a complaint about Road Damage issue.,Electricity,High,Positive,Waste Management Division
258,This is a complaint about Water Supply issue.,Waste Management,High,Negative,Electricity Board
259,This is a complaint about Waste Management issue.,Road Damage,Low,Negative,Public Works
260,This is a complaint about Electricity issue.,Water Supply,Medium,Positive,Water Department
261,This is a complaint about Electricity issue.,Road Damage,High,Positive,Public Works
262,This is a complaint about Electricity issue.,Electricity,Medium,Neutral,Public Works
263,This is a complaint about Electricity issue.,Water Supply,High,Negative,Public Works
264,This is a complaint about Electricity issue.,Electricity,Medium,Neutral,Waste Management Division
265,This is a complaint about Water Supply issue.,Electricity,High,Negative,Public Works
266,This is a complaint about Electricity issue.,Waste Management,High,Negative,Waste Management Division
267,This is a complaint about Water Supply issue.,Electricity,High,Neutral,Public Works
268,This is a complaint about Electricity issue.,Water Supply,Low,Negative,Water Department
269,This is a complaint about Road Damage issue.,Road Damage,Low,Neutral,Water Department
270,This is a complaint about Electricity issue.,Road Damage,Low,Positive,Electricity Board
271,This is a complaint about Waste Management issue.,Road Damage,High,Negative,Electricity Board
272,This is a complaint about Waste Management issue.,Waste Management,Low,Positive,Water Department
273,This is a complaint about Water Supply issue.,Water Supply,Medium,Negative,Public Works
274,This is a complaint about Water Supply issue.,Waste Management,Low,Positive,Water Department
275,This is a complaint about Waste Management issue.,Waste Management,High,Positive,Waste Management Division
276,This is a complaint about Road Damage issue.,Waste Management,High,Negative,Electricity Board
277,This is a complaint about Water Supply issue.,Electricity,Medium,Neutral,Public Works
278,This is a complaint about Electricity issue.,Water Supply,Low,Negative,Public Works
279,This is a complaint about Electricity issue.,Waste Management,Medium,Positive,Water Department
280,This is a complaint about Road Damage issue.,Waste Management,High,Neutral,Electricity Board
281,This is a complaint about Waste Management issue.,Waste Management,Low,Negative,Public Works
282,This is a complaint about Water Supply issue.,Electricity,Medium,Negative,Electricity Board
283,This is a complaint about Waste Management issue.,Waste Management,High,Neutral,Electricity Board
284,This is a complaint about Electricity issue.,Waste Management,High,Negative,Electricity Board
285,This is a complaint about Road Damage issue.,Electricity,Medium,Neutral,Public Works
286,This is a complaint about Water Supply issue.,Road Damage,High,Positive,Electricity Board
287,This is a complaint about Electricity issue.,Waste Management,Low,Positive,Water Department
288,This is a complaint about Road Damage issue.,Road Damage,Low,Negative,Water Department
289,This is a complaint about Electricity issue.,Waste Management,Medium,Positive,Water Department
290,This is a complaint about Electricity issue.,Road Damage,Medium,Negative,Public Works
291,This is a complaint about Road Damage issue.,Water Supply,Medium,Negative,Water Department
292,This is a complaint about Electricity issue.,Waste Management,Medium,Negative,Water Department
293,This is a complaint about Electricity issue.,Water Supply,High,Negative,Water Department
294,This is a complaint about Electricity issue.,Waste Management,Low,Negative,Public Works
295,This is a complaint about Water Supply issue.,Electricity,High,Positive,Water Department
296,This is a complaint about Electricity issue.,Electricity,High,Neutral,Electricity Board
297,This is a complaint about Water Supply issue.,Water Supply,High,Negative,Electricity Board
298,This is a complaint about Waste Management issue.,Waste Management,Medium,Negative,Water Department
299,This is a complaint about Electricity issue.,Road Damage,High,Negative,Electricity Board
300,This is a complaint about Road Damage issue.,Water Supply,Medium,Negative,Waste Management Division
301,This is a complaint about Water Supply issue.,Electricity,Medium,Neutral,Electricity Board
302,This is a complaint about Water Supply issue.,Electricity,Medium,Negative,Electricity Board
303,This is a complaint about Waste Management issue.,Water Supply,High,Negative,Public Works
304,This is a complaint about Electricity issue.,Electricity,High,Neutral,Public Works
305,This is a complaint about Electricity issue.,Waste Management,High,Positive,Public Works
306,This is a complaint about Electricity issue.,Water Supply,High,Neutral,Water Department
307,This is a complaint about Road Damage issue.,Water Supply,High,Negative,Public Works
308,This is a complaint about Waste Management issue.,Waste Management,Low,Neutral,Water Department
309,This is a complaint about Waste Management issue.,Water Supply,Low,Negative,Water Department
310,This is a complaint about Waste Management issue.,Waste Management,Low,Positive,Public Works
311,This is a complaint about Electricity issue.,Road Damage,Low,Neutral,Water Department
312,This is a complaint about Water Supply issue.,Road Damage,High,Positive,Water Department
313,This is a complaint about Electricity issue.,Waste Management,High,Positive,Water Department
314,This is a complaint about Water Supply issue.,Water Supply,Low,Negative,Water Department
315,This is a complaint about Water Supply issue.,Road Damage,Low,Negative,Electricity Board
316,This is a complaint about Road Damage issue.,Waste Management,Low,Positive,Water Department
317,This is a complaint about Electricity issue.,Water Supply,Low,Neutral,Waste Management Division
318,This is a complaint about Waste Management issue.,Electricity,Low,Negative,Waste Management Division
319,This is a complaint about Electricity issue.,Waste Management,Medium,Positive,Water Department
320,This is a complaint about Electricity issue.,Water Supply,Low,Positive,Public Works
321,This is a complaint about Waste Management issue.,Electricity,High,Positive,Waste Management Division
322,This is a complaint about Electricity issue.,Road Damage,High,Negative,Waste Management Division
323,This is a complaint about Electricity issue.,Water Supply,High,Negative,Electricity Board
324,This is a complaint about Waste Management issue.,Waste Management,High,Neutral,Electricity Board
325,This is a complaint about Electricity issue.,Electricity,Medium,Negative,Public Works
326,This is a complaint about Road Damage issue.,Waste Management,Medium,Neutral,Public Works
327,This is a complaint about Water Supply issue.,Water Supply,Medium,Neutral,Waste Management Division
328,This is a complaint about Electricity issue.,Waste Management,High,Neutral,Water Department
329,This is a complaint about Water Supply issue.,Water Supply,Medium,Neutral,Electricity Board
330,This is a complaint about Electricity issue.,Road Damage,Medium,Positive,Public Works
331,This is a complaint about Water Supply issue.,Water Supply,Medium,Negative,Electricity Board
332,This is a complaint about Water Supply issue.,Waste Management,High,Neutral,Electricity Board
333,This is a complaint about Road Damage issue.,Waste Management,Low,Negative,Public Works
334,This is a complaint about Water Supply issue.,Road Damage,Low,Negative,Water Department
335,This is a complaint about Road Damage issue.,Waste Management,Low,Positive,Water Department
336,This is a complaint about Electricity issue.,Water Supply,High,Neutral,Public Works
337,This is a complaint about Road Damage issue.,Road Damage,High,Neutral,Electricity Board
338,This is a complaint about Electricity issue.,Water Supply,Low,Negative,Public Works
339,This is a complaint about Road Damage issue.,Waste Management,High,Neutral,Water Department
340,This is a complaint about Road Damage issue.,Road Damage,Medium,Negative,Water Department
341,This is a complaint about Road Damage issue.,Electricity,Low,Negative,Public Works
342,This is a complaint about Water Supply issue.,Electricity,Medium,Negative,Waste Management Division
343,This is a complaint about Road Damage issue.,Road Damage,Medium,Neutral,Electricity Board
344,This is a complaint about Electricity issue.,Electricity,High,Negative,Waste Management Division
345,This is a complaint about Road Damage issue.,Road Damage,High,Negative,Public Works
346,This is a complaint about Waste Management issue.,Road Damage,Medium,Negative,Public Works
347,This is a complaint about Road Damage issue.,Water Supply,Low,Negative,Water Department
348,This is a complaint about Road Damage issue.,Electricity,High,Negative,Water Department
349,This is a complaint about Electricity issue.,Water Supply,High,Negative,Electricity Board
350,This is a complaint about Electricity issue.,Electricity,High,Positive,Electricity Board
351,This is a complaint about Water Supply issue.,Electricity,Medium,Neutral,Public Works
352,This is a complaint about Waste Management issue.,Waste Management,High,Positive,Waste Management Division
353,This is a complaint about Waste Management issue.,Water Supply,Medium,Positive,Public Works
354,This is a complaint about Road Damage issue.,Electricity,Medium,Neutral,Electricity Board
355,This is a complaint about Waste Management issue.,Water Supply,High,Positive,Waste Management Division
356,This is a complaint about Road Damage issue.,Electricity,High,Neutral,Water Department
357,This is a complaint about Road Damage issue.,Water Supply,Medium,Neutral,Water Department
358,This is a complaint about Water Supply issue.,Electricity,Medium,Negative,Electricity Board
359,This is a complaint about Road Damage issue.,Water Supply,Medium,Positive,Public Works
360,This is a complaint about Electricity issue.,Water Supply,Low,Positive,Waste Management Division
361,This is a complaint about Electricity issue.,Waste Management,Low,Negative,Electricity Board
362,This is a complaint about Electricity issue.,Road Damage,High,Neutral,Water Department
363,This is a complaint about Waste Management issue.,Electricity,High,Negative,Waste Management Division
364,This is a complaint about Road Damage issue.,Road Damage,Low,Neutral,Public Works
365,This is a complaint about Electricity issue.,Road Damage,Medium,Positive,Electricity Board
366,This is a complaint about Electricity issue.,Waste Management,Low,Neutral,Electricity Board
367,This is a complaint about Waste Management issue.,Waste Management,High,Neutral,Electricity Board
368,This is a complaint about Electricity issue.,Road Damage,Medium,Neutral,Electricity Board
369,This is a complaint about Waste Management issue.,Water Supply,High,Negative,Electricity Board
370,This is a complaint about Electricity issue.,Road Damage,Low,Neutral,Waste Management Division
371,This is a complaint about Road Damage issue.,Waste Management,Medium,Neutral,Public Works
372,This is a complaint about Waste Management issue.,Electricity,Low,Negative,Public Works
373,This is a complaint about Road Damage issue.,Waste Management,Low,Negative,Electricity Board
374,This is a complaint about Waste Management issue.,Water Supply,Medium,Negative,Public Works
375,This is a complaint about Road Damage issue.,Electricity,Low,Negative,Water Department
376,This is a complaint about Road Damage issue.,Electricity,Low,Neutral,Electricity Board
377,This is a complaint about Waste Management issue.,Electricity,Medium,Neutral,Electricity Board
